HARMFUL_SK,HARMFUL_DESCRIPTIONS,HARMFUL_CODES
c5f2be13ce602fa2dc3d1dea1484ff82,MOTOR VEHICLE IN TRANSPORT;CONCRETE TRAFFIC BARRIER;Ran Off Road-Left,12;36;64
467b24ec7ed98d0897d5ff02e2c38f88,DITCH;TREE,34;42
f910a935dc699e84117568817ddb3355,CULVERT;MAIL BOX;Ran Off Road-Right,32;40;63
4f056bb721aa29be66274839c2d21783,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE,1;12;24
4e9450271e7436e022f94fab61a3a3dd,MOTOR VEHICLE IN TRANSPORT;EMBANKMENT EARTH,12;71
d3b41eb1a10ff43b0c99dc7b16406978,GUARDRAIL END;Ran Off Road-Right,25;63
461ab8094d44636823de8510168f51c5,CONCRETE TRAFFIC BARRIER,1;36
df301fdd0e61c0afdce4195bf3c4f678,Ran Off Road-Right;EMBANKMENT EARTH,63;71
87700199b1f58dbf39f4a69699e1f574,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;UNKNOWN MOST HARMFUL EVENT,12;14;99
e8f518668d6dee4f644a7c4c7cdfbaea,H-WAY TRAFFIC SIGNAL POST;UTILITY POLE;Ran Off Road-Right,27;30;63
7f56c1c4e9f5e96beba796ace3b42a35,GUARDRAIL FACE;EMBANKMENT EARTH,24;71
d12019bc1aa23cce168f16467231e008,UTILITY POLE;MAIL BOX,30;40
9ea086a8aac626c7265912eaf06baaa9,BOULDER;Ran Off Road-Right,17;63
c6cf016597f3db51e9ebb13ed2f85b31,MOTOR VEHICLE IN TRANSPORT;Set In Motion By Motor Vehicle,12;54
ec843eeb7ac03ddc9d8e8005822b8dbc,FENCE;TREE,38;42
7a2d518c2fecad69bd968516b8542a18,MOTOR VEHICLE IN TRANSPORT;CURB;EMBANKMENT EARTH,12;33;71
586b1f700733789d24ebf94c3833cbfc,UTILITY POLE;OTHER FIXED OBJECTS,30;43
76d981ca6252bcaa3729b19ac9e7839a,Ran Off Road-Right;Ran Off Road-Left,1;63;64
8dcd7351c9789dd12ff28c411802c01d,MOTOR VEHICLE IN TRANSPORT,12;7
2e1e8abc12fe784470505f8470c92a80,MOTOR VEHICLE IN TRANSPORT;SHRUBBERY;Ran Off Road-Left,12;41;64
ce47089e0fec57e9a11d529dabe8179c,Cable Barrier,57
58cb571faa15336ffbd344fff90c898d,CURB;TREE;Ran Off Road-Right,33;42;63
301a70847032e10f2d35b928483d62f3,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;GUARDRAIL FACE;Ran Off Road-Left,13;24;64
d75d72558bb8794841c6b9aa403d57c9,OTHER OBJECT (NOT FIXED);CURB,18;33
d445aa9fda0cf20893b98e07c17ced17,PEDESTRIAN,7;8
03a09860b83754717f330d5281382282,OTHER OBJECT (NOT FIXED);BUILDING,1;18;19
085dec9f1c5e728312aca581a0a4a1fa,MOTOR VEHICLE IN TRANSPORT;CULVERT,12;32
166acc0dbf8838670921cafe4f792c86,UTILITY POLE;TREE,30;42
3300bbe6e56c3cadd1ef9752c1016ced,MOTOR VEHICLE IN TRANSPORT;TREE,12;42
f00e0c2f57e5cf5d2b073737bf137704,Cargo Equip Loss/Shift;Ran Off Road-Left,1;60;64
a6c88954125650e14e78eb69ebdf0366,UTILITY POLE;Ran Off Road-Right;EMBANKMENT EARTH,30;63;71
9a32c5a6bda7871555342f4a7f53031e,UTILITY POLE;Ran Off Road-Right,1;30;63
44d9275292f35e4a0c1d931c7fc63d9e,PARKED MOTOR VEHICLE;MAIL BOX,14;40
c66c4e16b322bf82e1a76609f7c808c4,GUARDRAIL FACE;UTILITY POLE,24;30
cfd37091e58c40c5f7b7b163948c9c18,H-WAY TRAFFIC SIGNAL POST;Cross Median,27;65
ff647c6e3a2ed5a986c34bbc7889fdeb,GUARDRAIL FACE;OTHER POST; POLE; SUPP.,24;31;6
436d1c48274cece5177b5a0716a04a9a,TREE;Ran Off Road-Left;EMBANKMENT EARTH;UNKNOWN MOST HARMFUL EVENT,42;64;71;99
26127f469b16e283e3d4b94ae2017e19,H-WAY TRAFFIC SIGNAL POST;LUMINAIRE/LIGHT SUPPORT,27;29
8be6fe66570e875c41fbccb57058e323,Motor Vehicle-In-Motion Outside Trafficw;Ran Off Road-Right;EMBANKMENT EARTH,55;63;71
e39c638670c42387e19a48277caacb3b,CONCRETE TRAFFIC BARRIER;Set In Motion By Motor Vehicle;Ran Off Road-Left,36;54;64
a88a06300482bd5c9c6320edc55e36bf,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;UTILITY POLE,12;14;30
731f569101a33f0fc02a6fbd212ab33e,Ran Off Road-Left;EMBANKMENT ROCK/STONE/CONCRETE,64;72
68f20667dce503a83c2666e71295e6a9,MOTOR VEHICLE IN TRANSPORT;FIRE HYDRANT,12;47
cd32c2961e4cef0712519b5ec8330974,PARKED MOTOR VEHICLE;Ran Off Road-Left;Cross Center Line,14;64;68
e6b5a46b67c60873a1bc26eadd31235c,OTHER POST; POLE; SUPP.;CURB,1;31;33
b16079274539f9948aff782f79cb0dc0,MOTOR VEHICLE IN TRANSPORT;CURB;OTHER FIXED OBJECTS,12;33;43
654301f509df636e5a1d44fae8e08644,OTHER OBJECT (NOT FIXED);Ran Off Road-Left;EMBANKMENT ROCK/STONE/CONCRETE,18;64;72
49acfbcbbc4e6db4f089b98c8338148f,GUARDRAIL FACE;CONCRETE TRAFFIC BARRIER;Ran Off Road-Right;Ran Off Road-Left,24;36;63;64
4de04f7d0288b021592272b266ff80ff,Ran Off Road-Right;EMBANKMENT ROCK/STONE/CONCRETE,63;72
12d24136013755caa4f1ab9b0f0ea8b8,BUILDING;SHRUBBERY;Ran Off Road-Right,19;41;63
5a3a024c1c710c3797103e91ce954f63,MOTOR VEHICLE IN TRANSPORT;CONCRETE TRAFFIC BARRIER,12;36;7
b92288dd644ce0e7888290d04c080503,PARKED MOTOR VEHICLE;OTHER TYPE NON-MOTORIST;Motor Vehicle-In-Motion Outside Trafficw,14;15;55
5b2e22a672bd4fa9d3e48aa9c4808928,MOTOR VEHICLE IN TRANSPORT;BUILDING;Ran Off Road-Left,12;19;64;7
3b7bb00c7ce962e282d209f25f471145,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;DITCH;TREE,13;34;42
4e63cc331fc7e9e9a33fb95752dae2e6,MOTOR VEHICLE IN TRANSPORT;CONCRETE TRAFFIC BARRIER;UNKNOWN MOST HARMFUL EVENT,12;36;99
d3a978e7bacd5ec5203e25baf885e5b2,UTILITY POLE;FENCE,30;38
d6ba385f17f106fb06924dc5198c2589,CURB,33;5
d15635ac81a8033294bc93ff050841b6,PARKED MOTOR VEHICLE,1;14
6c14623a11f04ff0509a798fd8fe2d9a,MOTOR VEHICLE IN TRANSPORT;DITCH,12;34
13dddb35f9e1963522219b602e5c83de,FENCE;Ran Off Road-Left,38;64
ba17a13f1a727085a0da09bafd8ffae7,MAIL BOX;TREE;Ran Off Road-Right,40;42;63
df3c016837e1e6506989bf35134a62d6,MOTOR VEHICLE IN TRANSPORT;IMPACT ATTENUATOR,12;20
24a2b63d17e8024373743022129ef034,MOTOR VEHICLE IN TRANSPORT;Motor Vehicle-In-Motion Outside Trafficw,12;55
4e26e94d4629e300e389c75176301fc2,GUARDRAIL FACE;TREE,24;42
49c81fdc98cc099ae7cfa21a1d243a79,MOTOR VEHICLE IN TRANSPORT;BRIDGE RAIL,12;23
2aa4a4c4356046632dedd0c54e482c8b,MOTOR VEHICLE IN TRANSPORT;LUMINAIRE/LIGHT SUPPORT;EMBANKMENT EARTH,12;29;71
1286590588c858b049df4d0ffa7327e3,Ran Off Road-Right;PEDESTRIAN,63;8
89f7c858c85dbf244bf93e41f5306bc7,UTILITY POLE;Other Traffic Barrier,30;37
1ac3a9618865873093af2f501d8af070,MOTOR VEHICLE IN TRANSPORT;CONCRETE TRAFFIC BARRIER,1;12;36
9ae72e3addb4a6732fab8a238a407fed,CURB;Ran Off Road-Right;EMBANKMENT EARTH,33;63;71
1e0fb87e97219a926baf9b2c58908fe5,FENCE;Ran Off Road-Left;EMBANKMENT ROCK/STONE/CONCRETE,38;64;72
